lab,id,age,gender,status,trial,side,LT,trialend,stimulus,condition,comment
plymouth,1,331,f,ok,1,left,20.194,SoundEnded,Manybabies\IDS-1.wav,ids,Everything fine
plymouth,1,331,f,ok,2,left,20.199,SoundEnded,Manybabies\ADS-1.wav,ads,Everything fine
plymouth,1,331,f,ok,3,right,2.715,Lookaway,Manybabies\IDS-2.wav,ids,Everything fine
plymouth,1,331,f,ok,4,left,16.488,Lookaway,Manybabies\ADS-2.wav,ads,Everything fine
plymouth,1,331,f,ok,5,right,18.237,SoundEnded,Manybabies\ADS-3.wav,ads,Everything fine
plymouth,1,331,f,ok,6,right,13.777,SoundEnded,Manybabies\IDS-3.wav,ids,Everything fine
plymouth,1,331,f,ok,7,left,4.247,Lookaway,Manybabies\IDS-4.wav,ids,Everything fine
plymouth,1,331,f,ok,8,left,17.37,SoundEnded,Manybabies\ADS-4.wav,ads,Everything fine
plymouth,1,331,f,ok,9,right,3.93,Lookaway,Manybabies\ADS-5.wav,ads,Everything fine
plymouth,1,331,f,ok,10,left,7.647,Lookaway,Manybabies\IDS-5.wav,ids,Everything fine
plymouth,1,331,f,ok,11,right,8.835,Lookaway,Manybabies\ADS-6.wav,ads,Everything fine
plymouth,1,331,f,ok,12,right,4.457,Lookaway,Manybabies\IDS-6.wav,ids,Everything fine
plymouth,1,331,f,ok,13,left,9.819,Lookaway,Manybabies\IDS-7.wav,ids,Everything fine
plymouth,1,331,f,ok,14,left,3.709,Lookaway,Manybabies\ADS-7.wav,ads,Everything fine
plymouth,1,331,f,ok,15,right,5.456,Lookaway,Manybabies\ADS-8.wav,ads,Everything fine
plymouth,1,331,f,ok,16,right,7.311,Lookaway,Manybabies\IDS-8.wav,ids,Everything fine
plymouth,2,342,m,out,1,left,9.261,Lookaway,Manybabies\ADS-1.wav,ads,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,2,right,9.499,Lookaway,Manybabies\IDS-1.wav,ids,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,3,left,5.452,Lookaway,Manybabies\ADS-2.wav,ads,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,4,right,11.574,Lookaway,Manybabies\IDS-2.wav,ids,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,5,left,4.147,Lookaway,Manybabies\IDS-3.wav,ids,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,6,left,1.75,Lookaway,Manybabies\ADS-3.wav,ads,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,7,right,5.883,Lookaway,Manybabies\ADS-4.wav,ads,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,8,right,1.738,Lookaway,Manybabies\IDS-4.wav,ids,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,9,left,0.761,Lookaway,Manybabies\IDS-5.wav,ids,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,10,right,0.434,Lookaway,Manybabies\ADS-5.wav,ads,"Crying/agitated, grabbed headphones"
plymouth,2,342,m,out,11,right,0,ExpAbort,Manybabies\IDS-6.wav,ids,"Crying/agitated, grabbed headphones"
plymouth,3,325,f,out,1,right,9.379,Lookaway,Manybabies\IDS-5.wav,ids,uninterested/grizzly
plymouth,3,325,f,out,2,right,3.494,Lookaway,Manybabies\ADS-5.wav,ads,uninterested/grizzly
plymouth,3,325,f,out,3,left,1.853,Lookaway,Manybabies\ADS-7.wav,ads,uninterested/grizzly
plymouth,3,325,f,out,4,left,5.248,Lookaway,Manybabies\IDS-7.wav,ids,uninterested/grizzly
plymouth,3,325,f,out,5,right,13.208,Lookaway,Manybabies\ADS-1.wav,ads,uninterested/grizzly
